expression,side,n_sequences,AB_n,AC_n,CB_n,primary_eligible,A_before_B_percent,A_before_C_percent,C_before_B_percent,median_A_distance,median_C_distance,median_B_distance,median_A_B_lead,mean_A_B_lead,positive_lead_percent
ZZ_Full Beard,left,1,1,1,1,False,100.0,100.0,100.0,8.0,13.0,14.0,6.0,6.0,100.0
ZZ_Full Beard,right,1,1,1,1,False,100.0,100.0,100.0,9.0,12.0,14.0,5.0,5.0,100.0
ZZ_Goatee,left,1,1,1,1,False,100.0,100.0,0.0,6.0,22.0,22.0,16.0,16.0,100.0
ZZ_Goatee,right,1,1,1,1,False,100.0,100.0,100.0,7.0,16.0,18.0,11.0,11.0,100.0
ZZ_Grizzly Beard,left,1,0,0,0,False,,,,,,,,,
ZZ_Grizzly Beard,right,1,0,0,0,False,,,,,,,,,
ZZ_Mutton Chops,left,1,1,1,1,False,100.0,100.0,100.0,5.0,12.0,25.0,20.0,20.0,100.0
ZZ_Mutton Chops,right,1,1,1,1,False,100.0,100.0,100.0,6.0,14.0,18.0,12.0,12.0,100.0
ZZ_Napoleon III,left,1,1,1,1,False,100.0,100.0,100.0,6.0,56.0,57.0,51.0,51.0,100.0
ZZ_Napoleon III,right,1,1,1,1,False,100.0,100.0,0.0,7.0,75.0,75.0,68.0,68.0,100.0
ZZ_Officer,left,1,1,1,1,False,100.0,100.0,100.0,6.0,20.0,21.0,15.0,15.0,100.0
ZZ_Officer,right,1,1,1,1,False,100.0,100.0,100.0,7.0,17.0,18.0,11.0,11.0,100.0
ZZ_Pioneer,left,1,1,1,1,False,100.0,100.0,100.0,6.0,20.0,45.0,39.0,39.0,100.0
ZZ_Pioneer,right,1,1,1,1,False,100.0,100.0,0.0,6.0,43.0,43.0,37.0,37.0,100.0
ZZ_Stubbled,left,1,1,1,1,False,100.0,100.0,100.0,5.0,21.0,22.0,17.0,17.0,100.0
ZZ_Stubbled,right,1,1,1,1,False,100.0,100.0,100.0,7.0,69.0,70.0,63.0,63.0,100.0
