expression,side,A_before_B_female,mean_lead_female,median_lead_female,n_sequences_female,A_before_B_male,mean_lead_male,median_lead_male,n_sequences_male,rate_difference_female_minus_male,mean_lead_difference_female_minus_male
Judgemental,right,1.0,13.0,9.0,5,0.8,9.8,10.0,5,0.19999999999999996,3.1999999999999993
Nervous,left,1.0,9.0,9.0,1,1.0,9.0,9.0,1,0.0,0.0
Nervous,right,1.0,2.0,2.0,1,1.0,4.0,4.0,1,0.0,-2.0
Pain,left,1.0,26.4,12.0,5,1.0,21.0,13.0,5,0.0,5.399999999999999
Pain,right,1.0,29.2,23.0,5,1.0,19.6,16.0,5,0.0,9.599999999999998
Pain Illness,left,1.0,34.0,34.0,1,1.0,12.0,12.0,1,0.0,22.0
Pain Illness,right,1.0,53.0,53.0,1,1.0,44.0,44.0,1,0.0,9.0
Playful,left,1.0,6.8,7.0,5,1.0,6.0,5.0,5,0.0,0.7999999999999998
Playful,right,1.0,12.2,14.0,5,1.0,8.6,7.0,5,0.0,3.5999999999999996
Pleasure Oo So Funny,left,1.0,3.0,3.0,1,1.0,12.0,12.0,1,0.0,-9.0
Pleasure Oo So Funny,right,1.0,5.0,5.0,1,1.0,13.0,13.0,1,0.0,-8.0
Romantic,left,1.0,7.0,2.0,5,1.0,4.0,4.0,5,0.0,3.0
Romantic,right,0.6,11.2,13.0,5,0.8,2.4,3.0,5,-0.20000000000000007,8.799999999999999
S Wink,left,1.0,51.0,51.0,1,1.0,47.0,47.0,1,0.0,4.0
S Wink,right,1.0,50.0,50.0,1,1.0,21.0,21.0,1,0.0,29.0
Sad,left,0.8,4.6,3.0,5,0.8,10.0,11.0,5,0.0,-5.4
Sad,right,1.0,12.6,8.0,5,1.0,7.4,1.0,5,0.0,5.199999999999999
Scream,left,1.0,4.0,4.0,1,1.0,2.0,2.0,1,0.0,2.0
Scream,right,1.0,13.0,13.0,1,1.0,14.0,14.0,1,0.0,-1.0
Seriousness,left,0.6,5.8,7.0,5,1.0,7.2,9.0,5,-0.4,-1.4000000000000004
Seriousness,right,0.8,1.6,2.0,5,0.6,2.2,3.0,5,0.20000000000000007,-0.6000000000000001
Silly,left,1.0,17.8,20.0,5,1.0,18.6,15.0,5,0.0,-0.8000000000000007
Silly,right,1.0,25.2,22.0,5,1.0,26.2,10.0,5,0.0,-1.0
Sleepy,left,0.8333333333333334,21.0,16.0,6,1.0,22.833333333333332,8.0,6,-0.16666666666666663,-1.8333333333333321
Sleepy,right,1.0,20.666666666666668,12.0,6,1.0,21.0,14.0,6,0.0,-0.33333333333333215
Subtle,left,0.5,1.25,0.5,4,1.0,2.6,2.0,5,-0.5,-1.35
Subtle,right,0.5,0.75,0.5,4,1.0,1.8,2.0,5,-0.5,-1.05
Talking,left,1.0,13.4,8.0,5,1.0,5.2,5.0,5,0.0,8.2
Talking,right,1.0,11.4,11.0,5,1.0,7.8,7.0,5,0.0,3.6000000000000005
Terror,left,1.0,27.0,27.0,1,1.0,19.0,19.0,1,0.0,8.0
Terror,right,1.0,25.0,25.0,1,1.0,24.0,24.0,1,0.0,1.0
Terror Phobia,left,1.0,13.0,13.0,1,1.0,8.0,8.0,1,0.0,5.0
Terror Phobia,right,1.0,19.0,19.0,1,1.0,13.0,13.0,1,0.0,6.0
Ulgh,left,1.0,56.0,56.0,1,1.0,13.0,13.0,1,0.0,43.0
Ulgh,right,1.0,60.0,60.0,1,1.0,9.0,9.0,1,0.0,51.0
Wicked,left,0.6,7.0,11.0,5,1.0,15.2,12.0,5,-0.4,-8.2
Wicked,right,0.8,12.0,15.0,5,1.0,15.6,21.0,5,-0.19999999999999996,-3.5999999999999996
Wink,left,1.0,57.0,57.0,1,1.0,63.0,63.0,1,0.0,-6.0
Wink,right,1.0,20.0,20.0,1,1.0,9.0,9.0,1,0.0,11.0
With Forehead Wrinkles Angry,left,1.0,15.0,11.0,5,1.0,11.8,10.0,5,0.0,3.1999999999999993
With Forehead Wrinkles Angry,right,0.8,10.0,11.0,5,1.0,11.8,7.0,5,-0.19999999999999996,-1.8000000000000007
ZMouth Open Horizontal,left,1.0,2.0,2.0,1,1.0,7.0,7.0,1,0.0,-5.0
ZMouth Open Horizontal,right,1.0,7.0,7.0,1,1.0,5.0,5.0,1,0.0,2.0
ZMouth Open Horizontal And Vertical,left,1.0,14.0,14.0,1,1.0,24.0,24.0,1,0.0,-10.0
ZMouth Open Horizontal And Vertical,right,1.0,13.0,13.0,1,1.0,18.0,18.0,1,0.0,-5.0
