folder,expression,sex_identity,appearance_identity,identity_family,side,A_view,C_view,B_view,A_distance,C_distance,B_distance,A_B_lead,A_before_B,n_viewpoints,reference_viewpoint,true_folder
Female_Expressions Disgust 01,Expressions Disgust,Female,Female_Base,Female,right,129.0,133.0,138.0,22,26.0,31.0,9.0,1,215,107,Female_Expressions Disgust 01
Female_Expressions Disgust 02,Expressions Disgust,Female,Female_Base,Female,left,98.0,70.0,70.0,9,37.0,37.0,28.0,1,215,107,Female_Expressions Disgust 02
Female_Expressions Disgust 02,Expressions Disgust,Female,Female_Base,Female,right,126.0,138.0,138.0,19,31.0,31.0,12.0,1,215,107,Female_Expressions Disgust 02
Female_Expressions Disgust 03,Expressions Disgust,Female,Female_Base,Female,left,97.0,95.0,93.0,10,12.0,14.0,4.0,1,215,107,Female_Expressions Disgust 03
Female_Expressions Disgust 03,Expressions Disgust,Female,Female_Base,Female,right,126.0,124.0,125.0,19,17.0,18.0,-1.0,0,215,107,Female_Expressions Disgust 03
Female_Expressions Disgust 04,Expressions Disgust,Female,Female_Base,Female,left,100.0,85.0,82.0,7,22.0,25.0,18.0,1,215,107,Female_Expressions Disgust 04
Female_Expressions Disgust 04,Expressions Disgust,Female,Female_Base,Female,right,123.0,140.0,146.0,16,33.0,39.0,23.0,1,215,107,Female_Expressions Disgust 04
Female_Expressions Disgust 05,Expressions Disgust,Female,Female_Base,Female,left,97.0,94.0,94.0,10,13.0,13.0,3.0,1,215,107,Female_Expressions Disgust 05
Female_Expressions Disgust 05,Expressions Disgust,Female,Female_Base,Female,right,125.0,124.0,130.0,18,17.0,23.0,5.0,1,215,107,Female_Expressions Disgust 05
Female_Expressions Excitement 01,Expressions Excitement,Female,Female_Base,Female,left,97.0,87.0,81.0,10,20.0,26.0,16.0,1,215,107,Female_Expressions Excitement 01
Female_Expressions Excitement 01,Expressions Excitement,Female,Female_Base,Female,right,129.0,128.0,131.0,22,21.0,24.0,2.0,1,215,107,Female_Expressions Excitement 01
Female_Expressions Excitement 02,Expressions Excitement,Female,Female_Base,Female,left,98.0,87.0,82.0,9,20.0,25.0,16.0,1,215,107,Female_Expressions Excitement 02
Female_Expressions Excitement 02,Expressions Excitement,Female,Female_Base,Female,right,129.0,152.0,152.0,22,45.0,45.0,23.0,1,215,107,Female_Expressions Excitement 02
Female_Expressions Excitement 03,Expressions Excitement,Female,Female_Base,Female,left,97.0,98.0,95.0,10,9.0,12.0,2.0,1,215,107,Female_Expressions Excitement 03
Female_Expressions Excitement 03,Expressions Excitement,Female,Female_Base,Female,right,127.0,123.0,124.0,20,16.0,17.0,-3.0,0,215,107,Female_Expressions Excitement 03
Female_Expressions Excitement 04,Expressions Excitement,Female,Female_Base,Female,left,96.0,72.0,70.0,11,35.0,37.0,26.0,1,215,107,Female_Expressions Excitement 04
Female_Expressions Excitement 04,Expressions Excitement,Female,Female_Base,Female,right,129.0,121.0,127.0,22,14.0,20.0,-2.0,0,215,107,Female_Expressions Excitement 04
Female_Expressions Excitement 05,Expressions Excitement,Female,Female_Base,Female,left,98.0,92.0,91.0,9,15.0,16.0,7.0,1,215,107,Female_Expressions Excitement 05
Female_Expressions Excitement 05,Expressions Excitement,Female,Female_Base,Female,right,129.0,120.0,125.0,22,13.0,18.0,-4.0,0,215,107,Female_Expressions Excitement 05
Female_Expressions Fear 01,Expressions Fear,Female,Female_Base,Female,left,97.0,94.0,88.0,10,13.0,19.0,9.0,1,215,107,Female_Expressions Fear 01
Female_Expressions Fear 01,Expressions Fear,Female,Female_Base,Female,right,128.0,127.0,131.0,21,20.0,24.0,3.0,1,215,107,Female_Expressions Fear 01
Female_Expressions Fear 02,Expressions Fear,Female,Female_Base,Female,left,96.0,88.0,81.0,11,19.0,26.0,15.0,1,215,107,Female_Expressions Fear 02
Female_Expressions Fear 02,Expressions Fear,Female,Female_Base,Female,right,130.0,136.0,138.0,23,29.0,31.0,8.0,1,215,107,Female_Expressions Fear 02
Female_Expressions Fear 03,Expressions Fear,Female,Female_Base,Female,left,98.0,92.0,86.0,9,15.0,21.0,12.0,1,215,107,Female_Expressions Fear 03
Female_Expressions Fear 03,Expressions Fear,Female,Female_Base,Female,right,127.0,120.0,126.0,20,13.0,19.0,-1.0,0,215,107,Female_Expressions Fear 03
Female_Expressions Fear 04,Expressions Fear,Female,Female_Base,Female,left,98.0,97.0,96.0,9,10.0,11.0,2.0,1,215,107,Female_Expressions Fear 04
Female_Expressions Fear 04,Expressions Fear,Female,Female_Base,Female,right,127.0,121.0,126.0,20,14.0,19.0,-1.0,0,215,107,Female_Expressions Fear 04
