identity,side,expression,n_sequences,n_valid_A_B,primary_eligible,A_before_B,A_before_B_percent,ci_low,ci_high,median_lead,mean_lead,positive_lead_percent
Female,left,Insanity Go Cuckoo,1,1,False,1.0,100.0,0.20654329147389294,1.0,12.0,12.0,100.0
Female,left,Insanity Going Crazy,1,1,False,1.0,100.0,0.20654329147389294,1.0,12.0,12.0,100.0
Female,left,Insanity Hostile,1,1,False,1.0,100.0,0.20654329147389294,1.0,47.0,47.0,100.0
Female,left,Insanity Lunatic,1,1,False,1.0,100.0,0.20654329147389294,1.0,7.0,7.0,100.0
Female,left,Joy,5,5,True,1.0,100.0,0.5655085052479191,1.0,30.0,26.0,100.0
Female,left,Judgemental,5,5,True,1.0,100.0,0.5655085052479191,1.0,5.0,8.4,100.0
Female,left,Nervous,1,1,False,1.0,100.0,0.20654329147389294,1.0,9.0,9.0,100.0
Female,left,Pain,5,5,True,1.0,100.0,0.5655085052479191,1.0,12.0,26.4,100.0
Female,left,Pain Illness,1,1,False,1.0,100.0,0.20654329147389294,1.0,34.0,34.0,100.0
Female,left,Playful,5,5,True,1.0,100.0,0.5655085052479191,1.0,7.0,6.8,100.0
Female,left,Pleasure Oo So Funny,1,1,False,1.0,100.0,0.20654329147389294,1.0,3.0,3.0,100.0
Female,left,Romantic,5,5,True,1.0,100.0,0.5655085052479191,1.0,2.0,7.0,100.0
Female,left,S Wink,1,1,False,1.0,100.0,0.20654329147389294,1.0,51.0,51.0,100.0
Female,left,Sad,5,5,True,0.8,80.0,0.3755282641185388,0.9637768390302125,3.0,4.6,80.0
Female,left,Scream,1,1,False,1.0,100.0,0.20654329147389294,1.0,4.0,4.0,100.0
Female,left,Seriousness,5,5,True,0.6,60.0,0.23071993220883708,0.8823817688407467,7.0,5.8,60.0
Female,left,Silly,5,5,True,1.0,100.0,0.5655085052479191,1.0,20.0,17.8,100.0
Female,left,Sleepy,6,6,True,0.8333333333333334,83.33333333333334,0.43649056343635395,0.9699474141282697,16.0,21.0,83.33333333333334
Female,left,Subtle,4,4,False,0.5,50.0,0.15003570882017148,0.8499642911798285,0.5,1.25,50.0
Female,left,Talking,5,5,True,1.0,100.0,0.5655085052479191,1.0,8.0,13.4,100.0
Female,left,Terror,1,1,False,1.0,100.0,0.20654329147389294,1.0,27.0,27.0,100.0
Female,left,Terror Phobia,1,1,False,1.0,100.0,0.20654329147389294,1.0,13.0,13.0,100.0
Female,left,Ulgh,1,1,False,1.0,100.0,0.20654329147389294,1.0,56.0,56.0,100.0
Female,left,Wicked,5,5,True,0.6,60.0,0.23071993220883708,0.8823817688407467,11.0,7.0,60.0
Female,left,Wink,1,1,False,1.0,100.0,0.20654329147389294,1.0,57.0,57.0,100.0
Female,left,With Forehead Wrinkles Angry,5,5,True,1.0,100.0,0.5655085052479191,1.0,11.0,15.0,100.0
Female,left,ZMouth Open Horizontal,1,1,False,1.0,100.0,0.20654329147389294,1.0,2.0,2.0,100.0
Female,left,ZMouth Open Horizontal And Vertical,1,1,False,1.0,100.0,0.20654329147389294,1.0,14.0,14.0,100.0
Female,right,+10,1,1,False,1.0,100.0,0.20654329147389294,1.0,52.0,52.0,100.0
Female,right,+20,1,1,False,1.0,100.0,0.20654329147389294,1.0,16.0,16.0,100.0
Female,right,+20_ZMouth Open Horizontal And Vertical,1,1,False,1.0,100.0,0.20654329147389294,1.0,31.0,31.0,100.0
Female,right,+30,1,1,False,1.0,100.0,0.20654329147389294,1.0,65.0,65.0,100.0
Female,right,+40,1,1,False,1.0,100.0,0.20654329147389294,1.0,70.0,70.0,100.0
Female,right,+50,1,1,False,1.0,100.0,0.20654329147389294,1.0,17.0,17.0,100.0
Female,right,+50_ZMouth Open Horizontal And Vertical,1,1,False,1.0,100.0,0.20654329147389294,1.0,63.0,63.0,100.0
Female,right,-10,1,1,False,1.0,100.0,0.20654329147389294,1.0,13.0,13.0,100.0
Female,right,-10_ZMouth Open Horizontal And Vertical,1,1,False,1.0,100.0,0.20654329147389294,1.0,18.0,18.0,100.0
Female,right,-20,1,1,False,1.0,100.0,0.20654329147389294,1.0,8.0,8.0,100.0
Female,right,-20_ZMouth Open Horizontal And Vertical,1,1,False,1.0,100.0,0.20654329147389294,1.0,28.0,28.0,100.0
Female,right,-30,1,1,False,1.0,100.0,0.20654329147389294,1.0,53.0,53.0,100.0
Female,right,-40,1,1,False,1.0,100.0,0.20654329147389294,1.0,59.0,59.0,100.0
Female,right,-50,1,1,False,1.0,100.0,0.20654329147389294,1.0,11.0,11.0,100.0
Female,right,-60,1,1,False,1.0,100.0,0.20654329147389294,1.0,19.0,19.0,100.0
Female,right,0,1,1,False,1.0,100.0,0.20654329147389294,1.0,26.0,26.0,100.0
Female,right,Angry,5,5,True,1.0,100.0,0.5655085052479191,1.0,12.0,17.0,100.0
Female,right,Anguish,1,1,False,1.0,100.0,0.20654329147389294,1.0,21.0,21.0,100.0
Female,right,Animosity Growl,1,1,False,1.0,100.0,0.20654329147389294,1.0,60.0,60.0,100.0
Female,right,Animosity Rebellious,1,1,False,1.0,100.0,0.20654329147389294,1.0,23.0,23.0,100.0
