expression,folder,A_left,C_left,B_left,A_right,C_right,B_right
Silly,Female_Silly 02,98.0,74.0,74.0,120.0,131.0,140.0
Silly,Female_Silly 03,98.0,73.0,73.0,118.0,135.0,140.0
Silly,Female_Silly 04,94.0,81.0,74.0,122.0,154.0,154.0
Silly,Female_Silly 05,98.0,91.0,91.0,118.0,157.0,159.0
Sleepy,Female_Sleepy,94.0,72.0,72.0,118.0,131.0,131.0
Sleepy,Female_Sleepy 01,96.0,32.0,32.0,120.0,182.0,182.0
Sleepy,Female_Sleepy 02,96.0,97.0,96.0,118.0,122.0,129.0
Sleepy,Female_Sleepy 03,96.0,87.0,86.0,117.0,127.0,127.0
Sleepy,Female_Sleepy 04,96.0,75.0,72.0,119.0,145.0,145.0
Sleepy,Female_Sleepy 05,97.0,95.0,91.0,117.0,119.0,119.0
Subtle,Female_Subtle 01,97.0,94.0,92.0,118.0,119.0,120.0
Subtle,Female_Subtle 02,98.0,100.0,99.0,118.0,116.0,118.0
Subtle,Female_Subtle 03,98.0,101.0,98.0,117.0,112.0,118.0
Subtle,Female_Subtle 04,100.0,100.0,99.0,118.0,117.0,118.0
Talking,Female_Talking 01,98.0,97.0,96.0,119.0,130.0,130.0
Talking,Female_Talking 02,98.0,88.0,83.0,119.0,130.0,130.0
Talking,Female_Talking 03,96.0,84.0,58.0,119.0,127.0,127.0
Talking,Female_Talking 04,98.0,90.0,90.0,119.0,140.0,141.0
Talking,Female_Talking 05,98.0,95.0,94.0,118.0,121.0,123.0
Terror,Female_Terror,98.0,78.0,71.0,116.0,136.0,141.0
Terror Phobia,Female_Terror Phobia,97.0,84.0,84.0,115.0,133.0,134.0
Ulgh,Female_Ulgh,100.0,93.0,44.0,116.0,175.0,176.0
Wicked,Female_Wicked 01,98.0,81.0,79.0,118.0,129.0,136.0
Wicked,Female_Wicked 02,98.0,88.0,87.0,119.0,132.0,134.0
Wicked,Female_Wicked 03,99.0,81.0,80.0,118.0,142.0,143.0
Wicked,Female_Wicked 04,97.0,107.0,102.0,116.0,107.0,114.0
Wicked,Female_Wicked 05,97.0,107.0,107.0,116.0,107.0,120.0
Wink,Female_Wink,98.0,50.0,41.0,119.0,139.0,139.0
With Forehead Wrinkles Angry,Female_With Forehead Wrinkles Angry 01,100.0,98.0,89.0,116.0,112.0,115.0
With Forehead Wrinkles Angry,Female_With Forehead Wrinkles Angry 02,96.0,99.0,80.0,120.0,113.0,131.0
With Forehead Wrinkles Angry,Female_With Forehead Wrinkles Angry 03,98.0,91.0,91.0,116.0,129.0,130.0
With Forehead Wrinkles Angry,Female_With Forehead Wrinkles Angry 04,98.0,89.0,89.0,117.0,127.0,127.0
With Forehead Wrinkles Angry,Female_With Forehead Wrinkles Angry 05,95.0,75.0,63.0,118.0,134.0,134.0
ZMouth Open Horizontal,Female_ZMouth Open Horizontal,97.0,96.0,95.0,118.0,120.0,125.0
ZMouth Open Horizontal And Vertical,Female_ZMouth Open Horizontal And Vertical,97.0,84.0,83.0,118.0,130.0,131.0
+10,Male_+10,102.0,93.0,91.0,108.0,121.0,123.0
+20,Male_+20,101.0,93.0,90.0,111.0,125.0,126.0
+20_ZMouth Open Horizontal And Vertical,Male_+20_ZMouth Open Horizontal And Vertical,98.0,68.0,67.0,114.0,147.0,147.0
+30,Male_+30,100.0,77.0,77.0,112.0,137.0,140.0
+40,Male_+40,99.0,96.0,92.0,113.0,123.0,124.0
+50,Male_+50,99.0,37.0,37.0,115.0,176.0,179.0
+50_ZMouth Open Horizontal And Vertical,Male_+50_ZMouth Open Horizontal And Vertical,99.0,67.0,66.0,113.0,156.0,156.0
-10,Male_-10,100.0,90.0,89.0,108.0,126.0,160.0
-10_ZMouth Open Horizontal And Vertical,Male_-10_ZMouth Open Horizontal And Vertical,97.0,85.0,85.0,115.0,124.0,125.0
-20,Male_-20,98.0,80.0,80.0,108.0,139.0,142.0
-20_ZMouth Open Horizontal And Vertical,Male_-20_ZMouth Open Horizontal And Vertical,99.0,50.0,45.0,116.0,161.0,162.0
-30,Male_-30,100.0,100.0,100.0,109.0,116.0,118.0
-40,Male_-40,101.0,91.0,91.0,112.0,123.0,124.0
-50,Male_-50,98.0,34.0,31.0,112.0,174.0,174.0
-60,Male_-60,101.0,89.0,89.0,113.0,132.0,132.0
0,Male_0,101.0,92.0,92.0,108.0,123.0,124.0
Angry,Male_Angry 01,102.0,107.0,97.0,113.0,107.0,144.0
Angry,Male_Angry 02,100.0,103.0,76.0,117.0,129.0,135.0
Angry,Male_Angry 03,101.0,95.0,94.0,113.0,117.0,118.0
Angry,Male_Angry 04,101.0,98.0,98.0,114.0,114.0,115.0
Angry,Male_Angry 05,101.0,83.0,81.0,111.0,127.0,129.0
Anguish,Male_Anguish,101.0,98.0,98.0,113.0,126.0,126.0
Animosity Growl,Male_Animosity Growl,100.0,107.0,106.0,108.0,107.0,128.0
Animosity Rebellious,Male_Animosity Rebellious,100.0,62.0,62.0,110.0,152.0,152.0
Bored,Male_Bored 01,101.0,98.0,96.0,114.0,116.0,116.0
Bored,Male_Bored 03,101.0,101.0,100.0,114.0,112.0,114.0
Bored,Male_Bored 04,101.0,96.0,96.0,114.0,120.0,129.0
Bored,Male_Bored 05,102.0,102.0,101.0,114.0,119.0,120.0
BreathTaking Over The Moon,Male_BreathTaking Over The Moon,100.0,107.0,102.0,108.0,107.0,112.0
Chewing,Male_Chewing,100.0,98.0,96.0,116.0,118.0,118.0
Choking,Male_Choking,100.0,85.0,85.0,112.0,129.0,129.0
Coughing,Male_Coughing,100.0,101.0,100.0,113.0,115.0,121.0
Crazed,Male_Crazed,100.0,58.0,58.0,109.0,165.0,166.0
Crying,Male_Crying,101.0,97.0,97.0,115.0,115.0,116.0
Cute,Male_Cute 01,102.0,99.0,97.0,114.0,116.0,117.0
Cute,Male_Cute 02,101.0,104.0,97.0,114.0,112.0,113.0
Cute,Male_Cute 03,102.0,95.0,94.0,114.0,129.0,132.0
Cute,Male_Cute 04,101.0,97.0,97.0,115.0,118.0,119.0
Cute,Male_Cute 05,100.0,100.0,96.0,115.0,112.0,114.0
Despise,Male_Despise 01,102.0,102.0,99.0,112.0,117.0,117.0
Despise,Male_Despise 02,102.0,86.0,86.0,112.0,137.0,171.0
Despise,Male_Despise 03,102.0,84.0,84.0,115.0,118.0,123.0
Despise,Male_Despise 04,100.0,96.0,95.0,113.0,120.0,120.0
Despise,Male_Despise 05,101.0,101.0,101.0,114.0,111.0,113.0
Determined,Male_Determined,101.0,107.0,99.0,108.0,118.0,118.0
Distrust,Male_Distrust 01,101.0,102.0,90.0,114.0,117.0,118.0
Distrust,Male_Distrust 02,100.0,101.0,99.0,115.0,115.0,116.0
Distrust,Male_Distrust 03,102.0,103.0,102.0,113.0,115.0,116.0
Distrust,Male_Distrust 04,100.0,101.0,99.0,114.0,111.0,113.0
Distrust,Male_Distrust 05,101.0,98.0,97.0,114.0,122.0,123.0
Empathy,Male_Empathy 01,101.0,105.0,99.0,113.0,112.0,113.0
Empathy,Male_Empathy 02,100.0,98.0,97.0,115.0,117.0,118.0
Empathy,Male_Empathy 03,102.0,103.0,97.0,113.0,121.0,121.0
Empathy,Male_Empathy 04,99.0,97.0,95.0,116.0,112.0,116.0
Empathy,Male_Empathy 05,100.0,101.0,99.0,116.0,122.0,122.0
Expressions Anger,Male_Expressions Anger 01,102.0,97.0,92.0,116.0,118.0,125.0
Expressions Anger,Male_Expressions Anger 02,102.0,74.0,74.0,113.0,118.0,120.0
Expressions Anger,Male_Expressions Anger 03,101.0,100.0,99.0,114.0,115.0,116.0
Expressions Anger,Male_Expressions Anger 04,98.0,86.0,85.0,112.0,119.0,119.0
Expressions Anger,Male_Expressions Anger 05,101.0,89.0,89.0,113.0,137.0,137.0
Expressions Confusion,Male_Expressions Confusion 01,103.0,84.0,78.0,112.0,117.0,118.0
Expressions Confusion,Male_Expressions Confusion 02,100.0,91.0,90.0,115.0,121.0,121.0
Expressions Confusion,Male_Expressions Confusion 03,101.0,99.0,98.0,114.0,114.0,114.0
Expressions Confusion,Male_Expressions Confusion 04,101.0,102.0,98.0,114.0,125.0,125.0
Expressions Confusion,Male_Expressions Confusion 05,102.0,89.0,89.0,116.0,117.0,118.0
Expressions Contempt,Male_Expressions Contempt 01,102.0,86.0,86.0,115.0,116.0,117.0
Expressions Contempt,Male_Expressions Contempt 02,102.0,101.0,98.0,114.0,125.0,126.0
Expressions Contempt,Male_Expressions Contempt 03,102.0,89.0,86.0,115.0,117.0,117.0
Expressions Contempt,Male_Expressions Contempt 04,101.0,101.0,98.0,116.0,114.0,114.0
Expressions Contempt,Male_Expressions Contempt 05,101.0,86.0,86.0,114.0,190.0,198.0
Expressions Desire,Male_Expressions Desire 01,101.0,102.0,98.0,115.0,116.0,116.0
Expressions Desire,Male_Expressions Desire 02,101.0,94.0,94.0,116.0,127.0,130.0
Expressions Desire,Male_Expressions Desire 03,101.0,96.0,94.0,114.0,118.0,119.0
Expressions Desire,Male_Expressions Desire 04,103.0,45.0,33.0,111.0,117.0,117.0
Expressions Desire,Male_Expressions Desire 05,101.0,76.0,73.0,115.0,119.0,120.0
Expressions Disgust,Male_Expressions Disgust 01,100.0,97.0,93.0,114.0,120.0,121.0
Expressions Disgust,Male_Expressions Disgust 02,102.0,91.0,89.0,114.0,119.0,120.0
Expressions Disgust,Male_Expressions Disgust 03,101.0,101.0,99.0,113.0,113.0,114.0
Expressions Disgust,Male_Expressions Disgust 04,102.0,38.0,38.0,113.0,181.0,181.0
Expressions Disgust,Male_Expressions Disgust 05,101.0,95.0,93.0,113.0,119.0,120.0
Expressions Excitement,Male_Expressions Excitement 01,101.0,95.0,91.0,112.0,117.0,118.0
Expressions Excitement,Male_Expressions Excitement 02,102.0,89.0,89.0,113.0,120.0,122.0
Expressions Excitement,Male_Expressions Excitement 03,102.0,95.0,95.0,113.0,114.0,120.0
Expressions Excitement,Male_Expressions Excitement 04,102.0,100.0,95.0,114.0,115.0,116.0
Expressions Excitement,Male_Expressions Excitement 05,100.0,95.0,95.0,115.0,124.0,125.0
Expressions Fear,Male_Expressions Fear 01,100.0,94.0,92.0,114.0,116.0,116.0
Expressions Fear,Male_Expressions Fear 02,102.0,93.0,93.0,113.0,122.0,127.0
Expressions Fear,Male_Expressions Fear 03,100.0,98.0,97.0,114.0,116.0,116.0
Expressions Fear,Male_Expressions Fear 04,100.0,100.0,99.0,114.0,113.0,115.0
Expressions Fear,Male_Expressions Fear 05,101.0,94.0,91.0,114.0,118.0,120.0
Expressions Happiness,Male_Expressions Happiness 01,102.0,89.0,89.0,115.0,116.0,117.0
Expressions Happiness,Male_Expressions Happiness 02,101.0,86.0,84.0,114.0,120.0,123.0
Expressions Happiness,Male_Expressions Happiness 03,101.0,70.0,68.0,115.0,123.0,123.0
Expressions Happiness,Male_Expressions Happiness 04,101.0,93.0,93.0,116.0,121.0,123.0
Expressions Happiness,Male_Expressions Happiness 05,101.0,80.0,78.0,115.0,155.0,158.0
Expressions Sadness,Male_Expressions Sadness 01,101.0,92.0,92.0,117.0,118.0,120.0
Expressions Sadness,Male_Expressions Sadness 02,101.0,91.0,91.0,113.0,117.0,123.0
Expressions Sadness,Male_Expressions Sadness 03,102.0,95.0,92.0,114.0,114.0,118.0
Expressions Sadness,Male_Expressions Sadness 04,101.0,100.0,99.0,115.0,116.0,117.0
Expressions Sadness,Male_Expressions Sadness 05,101.0,89.0,87.0,115.0,120.0,120.0
Expressions Surprise,Male_Expressions Surprise 01,99.0,85.0,76.0,114.0,129.0,130.0
Expressions Surprise,Male_Expressions Surprise 02,102.0,93.0,87.0,114.0,120.0,121.0
Expressions Surprise,Male_Expressions Surprise 03,100.0,97.0,97.0,116.0,120.0,122.0
Expressions Surprise,Male_Expressions Surprise 04,99.0,92.0,90.0,117.0,124.0,130.0
Expressions Surprise,Male_Expressions Surprise 05,102.0,52.0,51.0,116.0,136.0,136.0
Eyeglasses,Male_Eyeglasses 1,103.0,19.0,8.0,108.0,208.0,208.0
Fear,Male_Fear 01,99.0,89.0,85.0,115.0,127.0,127.0
Fear,Male_Fear 02,101.0,92.0,91.0,114.0,124.0,126.0
Fear,Male_Fear 03,101.0,88.0,87.0,113.0,124.0,124.0
Fear,Male_Fear 04,100.0,92.0,86.0,116.0,112.0,117.0
