folder,expression,direction,A_boundary,B_boundary,lead_deg
Female_Expressions Anger 05,Expressions Anger,left,0.0,0.0,0.0
Female_Expressions Confusion 01,Expressions Confusion,left,0.0,0.0,0.0
Female_Expressions Confusion 02,Expressions Confusion,left,0.0,0.0,0.0
Female_Expressions Confusion 03,Expressions Confusion,left,0.0,0.0,0.0
Female_Expressions Confusion 04,Expressions Confusion,left,0.0,0.0,0.0
Female_Expressions Confusion 05,Expressions Confusion,left,0.0,0.0,0.0
Female_Expressions Contempt 01,Expressions Contempt,left,0.0,0.0,0.0
Female_Expressions Contempt 02,Expressions Contempt,left,0.0,0.0,0.0
Female_Expressions Contempt 03,Expressions Contempt,left,0.0,0.0,0.0
Female_Expressions Contempt 04,Expressions Contempt,left,0.0,0.0,0.0
Female_Expressions Contempt 05,Expressions Contempt,left,0.0,0.0,0.0
Female_Expressions Desire 01,Expressions Desire,left,0.0,0.0,0.0
Female_Expressions Desire 02,Expressions Desire,left,0.0,0.0,0.0
Female_Expressions Desire 03,Expressions Desire,left,0.0,0.0,0.0
Female_Expressions Desire 04,Expressions Desire,left,0.0,0.0,0.0
Female_Expressions Desire 05,Expressions Desire,left,0.0,0.0,0.0
Female_Expressions Disgust 01,Expressions Disgust,left,0.0,0.0,0.0
Female_Expressions Disgust 02,Expressions Disgust,left,0.0,0.0,0.0
Female_Expressions Disgust 03,Expressions Disgust,left,0.0,0.0,0.0
Female_Expressions Disgust 04,Expressions Disgust,left,0.0,0.0,0.0
Female_Expressions Disgust 05,Expressions Disgust,left,0.0,0.0,0.0
Female_Expressions Excitement 01,Expressions Excitement,left,0.0,0.0,0.0
Female_Expressions Excitement 02,Expressions Excitement,left,0.0,0.0,0.0
Female_Expressions Excitement 03,Expressions Excitement,left,0.0,0.0,0.0
Female_Expressions Excitement 04,Expressions Excitement,left,0.0,0.0,0.0
Female_Expressions Excitement 05,Expressions Excitement,left,0.0,0.0,0.0
Female_Expressions Fear 01,Expressions Fear,left,0.0,0.0,0.0
Female_Expressions Fear 02,Expressions Fear,left,0.0,0.0,0.0
Female_Expressions Fear 03,Expressions Fear,left,0.0,0.0,0.0
Female_Expressions Fear 04,Expressions Fear,left,0.0,0.0,0.0
Female_Expressions Fear 05,Expressions Fear,left,0.0,0.0,0.0
Female_Expressions Happiness 01,Expressions Happiness,left,0.0,0.0,0.0
Female_Expressions Happiness 02,Expressions Happiness,left,0.0,0.0,0.0
Female_Expressions Happiness 03,Expressions Happiness,left,0.0,0.0,0.0
Female_Expressions Happiness 04,Expressions Happiness,left,0.0,0.0,0.0
Female_Expressions Happiness 05,Expressions Happiness,left,0.0,0.0,0.0
Female_Expressions Sadness 01,Expressions Sadness,left,0.0,0.0,0.0
Female_Expressions Sadness 02,Expressions Sadness,left,0.0,0.0,0.0
Female_Expressions Sadness 03,Expressions Sadness,left,0.0,0.0,0.0
Female_Expressions Sadness 04,Expressions Sadness,left,0.0,0.0,0.0
Female_Expressions Sadness 05,Expressions Sadness,left,0.0,0.0,0.0
Female_Expressions Surprise 01,Expressions Surprise,left,0.0,0.0,0.0
Female_Expressions Surprise 02,Expressions Surprise,left,0.0,0.0,0.0
Female_Expressions Surprise 03,Expressions Surprise,left,0.0,0.0,0.0
Female_Expressions Surprise 04,Expressions Surprise,left,0.0,0.0,0.0
Female_Expressions Surprise 05,Expressions Surprise,left,0.0,0.0,0.0
Female_Eyeglasses 1,Eyeglasses,left,0.0,0.0,0.0
Female_Fear 01,Fear,left,0.0,0.0,0.0
Female_Fear 02,Fear,left,0.0,0.0,0.0
Female_Fear 03,Fear,left,0.0,0.0,0.0
Female_Fear 04,Fear,left,0.0,0.0,0.0
Female_Fear 05,Fear,left,0.0,0.0,0.0
Female_Fierce Cutthroat,Fierce Cutthroat,left,0.0,0.0,0.0
Female_Fierce Fiery,Fierce Fiery,left,0.0,0.0,0.0
Female_Fierce Savage,Fierce Savage,left,0.0,0.0,0.0
Female_Happy 01,Happy,left,0.0,0.0,0.0
Female_Happy 02,Happy,left,0.0,0.0,0.0
Female_Happy 03,Happy,left,0.0,0.0,0.0
Female_Happy 04,Happy,left,0.0,0.0,0.0
Female_Happy 05,Happy,left,0.0,0.0,0.0
Female_Happy Elated,Happy Elated,left,0.0,0.0,0.0
Female_Happy Perky,Happy Perky,left,0.0,0.0,0.0
Female_Happy So Peaceful,Happy So Peaceful,left,0.0,0.0,0.0
Female_Humiliated,Humiliated,left,0.0,0.0,0.0
Female_Insanity Deranged,Insanity Deranged,left,0.0,0.0,0.0
Female_Insanity Go Cuckoo,Insanity Go Cuckoo,left,0.0,0.0,0.0
Female_Insanity Going Crazy,Insanity Going Crazy,left,0.0,0.0,0.0
Female_Insanity Hostile,Insanity Hostile,left,0.0,0.0,0.0
Female_Insanity Lunatic,Insanity Lunatic,left,0.0,0.0,0.0
Female_Joy 01,Joy,left,0.0,0.0,0.0
Female_Joy 02,Joy,left,0.0,0.0,0.0
Female_Joy 03,Joy,left,0.0,0.0,0.0
Female_Joy 04,Joy,left,0.0,0.0,0.0
Female_Joy 05,Joy,left,0.0,0.0,0.0
Female_Judgemental 01,Judgemental,left,0.0,0.0,0.0
Female_Judgemental 02,Judgemental,left,0.0,0.0,0.0
Female_Judgemental 03,Judgemental,left,0.0,0.0,0.0
Female_Judgemental 04,Judgemental,left,0.0,0.0,0.0
Female_Judgemental 05,Judgemental,left,0.0,0.0,0.0
