direction,abs_angle,cosine,angular,euclidean,path,rate,curvature,instability,B_accuracy,C_margin,N
right,20.0,0.12545751980931194,28.10164522622173,0.48457454319441345,1.5154313323321367,0.08518583296996649,19.12844758777651,0.12498302016171695,0.4566744730679157,-0.0011188741031798602,427
right,21.0,0.13599529115600945,29.347154563707267,0.5055710229438138,1.6039333068711172,0.08850197453898066,17.69735348285709,0.12471362936203598,0.44028103044496486,-0.002160294413287411,427
right,22.0,0.14668956266354063,30.571801842236127,0.5261553544071296,1.6953660071406522,0.09143270026953494,17.078234985519003,0.12309073925506873,0.41217798594847777,-0.00355620909072197,427
right,23.0,0.1605530203924246,32.06939370291574,0.5512216179795232,1.78754191748161,0.09217591034095796,17.329842983889055,0.12937292472330691,0.37236533957845436,-0.005424070972469428,427
right,24.0,0.1710521106976815,33.21194134607248,0.5703382252669725,1.880431249041974,0.09288933156036382,17.586070845026494,0.12276718664294942,0.34660421545667447,-0.00697480389887611,427
right,25.0,0.17634809212606462,33.79052296622855,0.5800281794484382,1.9671616187860068,0.08673036974403284,18.349882271976398,0.12419555856207215,0.3325526932084309,-0.007398507354968605,427
right,26.0,0.17702086985250826,33.95602192309199,0.5829367299130147,2.056300244712875,0.08913862592686814,18.32151345840366,0.12833278334810808,0.3442622950819672,-0.006763246355347108,427
right,27.0,0.18995002896221796,35.214622890642154,0.6037603900778769,2.1461261117839596,0.08982586707108473,17.88182327312342,0.12468903119167622,0.30679156908665106,-0.008406345542755841,427
right,28.0,0.19702283197041137,35.91072722620372,0.6152999464605675,2.2350679023400715,0.088941790556112,18.18985981087543,0.1235759338359643,0.28805620608899296,-0.009186511017399594,427
right,29.0,0.20579668691063374,36.753686913840944,0.6292232763571818,2.322500373079797,0.08743247073972532,17.520528372866174,0.12490563987987661,0.2693208430913349,-0.010237258407494502,427
right,30.0,0.2139879162194299,37.587397867957655,0.643078162952106,2.4142532662556135,0.09175289317581636,17.65872543273646,0.12933016397425387,0.2529274004683841,-0.011212689256779762,427
right,31.0,0.21913129691496946,38.16816721699556,0.6528420320578984,2.506001469770782,0.09174820351516894,16.815609949110183,0.1280641286378722,0.234192037470726,-0.011358296005731443,427
right,32.0,0.22281688647192033,38.62872642320548,0.6606757987020166,2.6010136491525264,0.09501217938174408,16.644738444729626,0.12576999262289365,0.24121779859484777,-0.011603013972208706,427
right,33.0,0.22797232977958698,39.1648567834001,0.6696312532212751,2.6922209030802446,0.09120725392771828,17.847948119873916,0.12485720426611933,0.23185011709601874,-0.011836398262050726,427
right,34.0,0.232988677343105,39.60157865216079,0.6767490477556367,2.778885075593459,0.08666417251321415,18.25565468480131,0.12765313030615344,0.2154566744730679,-0.01295863646813243,427
right,35.0,0.2357709184463465,39.85007227555929,0.6808150263385415,2.8701754581266075,0.0912903825331488,17.887607193967234,0.1326380982576265,0.20608899297423888,-0.013165908060810885,427
right,36.0,0.24006340724243772,40.24188543761921,0.687254611795345,2.962459683158725,0.09228422503211739,17.273033314382868,0.13383211746846765,0.20843091334894615,-0.013478298516686683,427
right,37.0,0.24606093924832848,40.75577460295702,0.6956070795550559,3.0577272827861357,0.0952675996274105,17.479387189447188,0.13941745196558553,0.20374707259953162,-0.014246788879189056,427
right,38.0,0.25012377553578,41.143729743689505,0.702025050860099,3.153069668514894,0.09534238572875844,16.494703332906873,0.14016285229832004,0.20140515222482436,-0.014696353352879473,427
right,39.0,0.2630326789771087,42.20946908722996,0.719240060036858,3.254705779047234,0.10163611053233962,15.736010528855095,0.14132252290181868,0.1920374707259953,-0.01740396874291556,427
right,40.0,0.278963387989607,43.47911780221121,0.739603823535057,3.356602959249788,0.10189718020255448,16.487091119670637,0.14330250898973723,0.18032786885245902,-0.019735873443460575,427
right,41.0,0.2830129642676414,43.81444692053337,0.7450238901083587,3.454002791079987,0.09739983183019893,16.667968551951127,0.14392829888807807,0.1686182669789227,-0.020071253843553172,427
right,42.0,0.2908308377589777,44.462864623415946,0.7555147881251029,3.554727319804668,0.10072452872468102,16.664511357277018,0.14845226619575844,0.1592505854800937,-0.02154540596857004,427
right,43.0,0.3019811850241811,45.32147072517341,0.769161443660075,3.6557132618684993,0.10098594206383134,16.904796192691403,0.14559608409988237,0.1522248243559719,-0.02368631393624692,427
right,44.0,0.307084216864941,45.713564763303665,0.7753881940517827,3.7536592196162784,0.0979459577477788,18.164949603219565,0.1427375970002639,0.15690866510538642,-0.024232348597300973,427
